index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
0,スズキ,アルトラパン,https://www.goo-net.com/usedcar/spread/goo/15/965022100100208428010.html,109.9万円,117.5万円,1.7万km,0,1,2023年3月,2016,660,4,2WD,ガソリン,5D,インパネAT,0,コフレピンクパールメタリック,365,−,−,−,3395x1475x1525mm,680,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,35.6km/リットル,−,1,1,5,5,無し
1,ダイハツ,ムーヴキャンバス,https://www.goo-net.com/usedcar/spread/goo/15/965022093000208428002.html,129.9万円,140.8万円,1.2万km,0,1,車検整備付,2017,660,4,2WD,ガソリン,5D,インパネAT,0,スムースグレーマイカメタリック,913,−,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.6km/リットル,−,1,1,4,4,無し
2,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/12/965022100100403397004.html,69.9万円,77.9万円,8.4万km,0,1,2023年6月,2012,660,4,2WD,ガソリン,5D,インパネAT,0,ポリッシュドメタル・メタリック,122,−,−,−,3395x1475x1780mm,960,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,22.0km/リットル,24.5km/リットル,1,1,4,4,無し
3,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/12/965022100300403397013.html,59.9万円,71万円,2.8万km,0,1,車検整備付,2013,660,4,2WD,ガソリン,5D,インパネAT,0,アラバスターシルバー・メタリック,585,−,−,−,3395x1475x1770mm,930,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,22.2km/リットル,24.5km/リットル,1,1,4,4,無し
4,ホンダ,Ｎ−ＢＯＸスラッシュ,https://www.goo-net.com/usedcar/spread/goo/12/965022100200403397008.html,129.9万円,137.3万円,4.2万km,0,1,2023年1月,2016,660,4,2WD,ガソリン,5D,インパネAT,1,プレミアムホワイト・パールＩＩ＆ブラック,322,−,−,−,3395x1475x1670mm,940,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,24.0km/リットル,−,1,1,4,4,無し
5,スズキ,ワゴンＲスティングレー,https://www.goo-net.com/usedcar/spread/goo/12/965022100300403397006.html,59.9万円,67.6万円,5.8万km,0,1,2023年2月,2012,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイト,616,−,−,−,3395x1475x1675mm,860,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,21.6km/リットル,23.5km/リットル,1,1,4,4,無し
6,スバル,ステラ,https://www.goo-net.com/usedcar/spread/goo/19/965022092900802769004.html,69.9万円,77.8万円,1.5万km,0,1,2023年7月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,アーバンナイトブルークリスタル・メタリック,177,−,−,−,3395x1475x1620mm,810,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,29.0km/リットル,−,1,1,4,4,無し
7,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/16/965022092900709104001.html,169.7万円,177.1万円,2.2万km,0,1,2022年12月,2017,660,4,2WD,ガソリン,5D,インパネAT,1,プレミアムホワイト・パールＩＩ＆ブラック,806,−,−,−,3395x1475x1790mm,930,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,25.0km/リットル,−,1,1,5,4,無し
8,ダイハツ,ミライース,https://www.goo-net.com/usedcar/spread/goo/15/965022100100208428002.html,90.7万円,98.6万円,1.1万km,0,1,2023年9月,2018,660,4,2WD,ガソリン,5D,インパネAT,0,スプラッシュブルーメタリック,158,−,−,−,3395x1475x1500mm,670,FF,無鉛レギュラーガソリン,49ps(36kW)/6800rpm,25km/リットル,34.2km/リットル,−,1,1,5,4,無し
9,ダイハツ,ムーヴキャンバス,https://www.goo-net.com/usedcar/spread/goo/12/965022100400403397002.html,169.8万円,177.9万円,2.5万km,0,1,2023年9月,2018,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイトＩＩＩ×ナチュラルベージュマイカメタリック,74,−,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,20.6km/リットル,28.6km/リットル,−,1,1,5,5,無し
