index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
0,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/13/700056098930220709001.html,134.8万円,144.8万円,0.7万km,0,0,2024年1月,2021,660,4,2WD,ガソリン,5D,CVT,0,シャイニングホワイトパール,704,寒冷地仕様,−,−,3395x1475x1755mm,900,FF,無鉛レギュラーガソリン,52ps(38kW)/6900rpm,21.2km/リットル,27.2km/リットル,−,1,0,5,5,無し
1,ダイハツ,ミライース,https://www.goo-net.com/usedcar/spread/goo/10/965022092400300112005.html,79.7万円,90.5万円,0.6万km,0,1,車検整備付,2015,660,4,4WD,ガソリン,5D,インパネAT,0,ブライトシルバーメタリック,841,−,−,−,3395x1475x1500mm,790,フルタイム４WD,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,30.4km/リットル,−,1,1,5,5,無し
2,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/13/917022051400500160003.html,119.8万円,129.5万円,3.4万km,0,1,車検整備付,2017,660,4,2WD,ガソリン,5D,インパネAT,0,プレミアムホワイトパールＩＩ,327,−,−,−,3395x1475x1790mm,930,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,1,1,5,4,有 軽度
3,スズキ,スペーシア,https://www.goo-net.com/usedcar/spread/goo/19/988022080806300650002.html,69.8万円,79.4万円,3.4万km,0,0,なし,2014,660,4,2WD,ガソリン,5D,インパネAT,0,クリスタルホワイトパール,604,−,−,−,3395x1475x1735mm,840,FF,無鉛レギュラーガソリン,52ps(38kW)/6000rpm,−,29.0km/リットル,−,1,1,4,4,無し
4,ダイハツ,タフト,https://www.goo-net.com/usedcar/spread/goo/16/939021121200706585011.html,141.8万円,149.8万円,0.6万km,0,1,2024年5月,2021,660,4,2WD,ガソリン,5D,CVT,0,サンドベージュＭ,719,−,−,−,3395x1475x1630mm,830,FF,無鉛レギュラーガソリン,52ps(38kW)/6900rpm,20.5km/リットル,25.7km/リットル,−,1,1,5,5,無し
5,スズキ,ハスラー,https://www.goo-net.com/usedcar/spread/goo/15/965021021500208212006.html,159.7万円,167万円,0.3万km,0,1,2023年1月,2020,660,4,2WD,ハイブリッド,5D,インパネAT,0,バーミリオンオレンジ,48,−,−,−,3395x1475x1680mm,810,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,25km/リットル,30.4km/リットル,−,1,1,4,5,無し
6,ダイハツ,キャスト,https://www.goo-net.com/usedcar/spread/goo/16/939022080900708182003.html,129.8万円,136.6万円,2.4万km,0,1,車検整備付,2016,660,4,2WD,ガソリン,5D,CVT,1,シャイニングレッド,970,−,−,−,3395x1475x1600mm,850,FF,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,24.8km/リットル,−,1,1,4,4,無し
7,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/12/700040221130220202002.html,85万円,95.8万円,3.0万km,0,0,2024年1月,2016,660,4,2WD,ガソリン,5D,AT,0,ライトブラウン,196,−,−,−,3395x1475x1775mm,930,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,22.0km/リットル,−,1,1,4,3,有 軽度
8,日産,デイズ,https://www.goo-net.com/usedcar/spread/goo/17/965022083001000849007.html,89.6万円,98万円,2.2万km,0,1,2024年5月,2018,660,4,2WD,ガソリン,5D,インパネAT,0,ミネラルブルー（Ｍ）,860,−,−,−,3395x1475x1620mm,830,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,26.8km/リットル,−,1,1,5,5,無し
9,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/13/917022093000509300004.html,104.8万円,112.1万円,4.7万km,0,0,2024年4月,2017,660,4,2WD,ガソリン,5D,インパネAT,1,プレミアムホワイトＰ２,642,−,−,−,3395x1475x1655mm,850,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,26.0km/リットル,−,1,1,5,4,無し
10,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/17/700100184930220902006.html,54.8万円,71.8万円,7.8万km,0,0,車検整備付,2014,660,4,2WD,ガソリン,5D,CVT,0,ポリッシュドメタルメタリック,39,−,−,−,3395x1475x1655mm,830,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,29.2km/リットル,−,1,1,4,3,無し
11,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/13/700050085630220613001.html,59.8万円,75.8万円,2.8万km,0,0,車検整備付,2017,660,4,2WD,ハイブリッド,5D,CVT,0,シルバー,566,−,−,−,3395x1475x1650mm,770,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,33.4km/リットル,−,1,1,4,4,有 軽度
12,ダイハツ,ムーヴキャンバス,https://www.goo-net.com/usedcar/spread/goo/15/965022070900208018007.html,99.9万円,110.8万円,4.3万km,0,1,車検整備付,2017,660,4,2WD,ガソリン,5D,インパネAT,0,ファインミントメタリック,940,−,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.6km/リットル,−,1,1,4,4,無し
13,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/10/917022073000302287005.html,176万円,182万円,3.4万km,0,1,2023年3月,2018,660,4,4WD,ガソリン,5D,インパネAT,1,シャイニンググレーメタリック,415,寒冷地仕様,339,−,3395x1475x1815mm,1020,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,23.0km/リットル,−,1,1,4,4,無し
