index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
0,三菱,パジェロミニ,https://www.goo-net.com/usedcar/spread/goo/15/700020455230220623002.html,108.8万円,116.2万円,5.4万km,0,0,2024年6月,2012,660,4,4WD,ガソリン,3D,4AT,1,シルバーＩＩ,613,−,−,−,3395x1475x1635mm,980,パートタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,−,−,1,0,4,4,無し
1,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/15/906022042700201064005.html,145.2万円,152.4万円,1.9万km,0,0,車検整備付,2019,660,4,2WD,ガソリン,5D,インパネAT,0,ブラック,305,−,−,−,3395x1475x1775mm,960,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,22.2km/リットル,−,1,1,4,4,無し
2,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/15/700020820730211217006.html,49.5万円,59万円,7.7万km,0,0,車検整備付,2012,660,4,2WD,ガソリン,5D,CVT,0,ライトローズマイカメタリック,470,−,339,−,3395x1475x1635mm,810,FF,無鉛レギュラーガソリン,52ps(38kW)/7200rpm,−,−,27.0km/リットル,1,1,4,4,無し
3,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/11/971022050900902036002.html,99万円,106.6万円,3.1万km,0,0,車検整備付,2017,660,4,2WD,ハイブリッド,5D,CVT,0,スチールシルバーメタリック,682,−,−,−,3395x1475x1650mm,790,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,33.4km/リットル,−,1,1,4,4,無し
4,ダイハツ,ウェイク,https://www.goo-net.com/usedcar/spread/goo/17/700100081730220611001.html,152.8万円,--万円,2.0万km,0,0,なし,2019,660,4,2WD,ガソリン,5D,CVT,0,パール,714,−,339,−,3395x1475x1835mm,1000,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,25.4km/リットル,−,1,0,5,4,無し
5,スズキ,スペーシアカスタム,https://www.goo-net.com/usedcar/spread/goo/13/700050899030210219001.html,159.9万円,--万円,1.7万km,0,0,なし,2018,660,4,2WD,ハイブリッド,5D,CVT,0,ピュアホワイトパールＩＩ,621,−,−,−,3395x1475x1785mm,900,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,25.6km/リットル,−,1,0,5,4,無し
6,スズキ,エブリイ,https://www.goo-net.com/usedcar/spread/goo/19/700080004430200721001.html,160万円,170万円,1.6万km,0,0,車検整備付,2018,660,4,2WD,ガソリン,5D,5MT,0,ホワイト,586,−,−,−,,,,ガソリン,,,,,1,1,4,5,無し
7,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/17/917022020101002528026.html,139.7万円,148.4万円,0.6万km,0,0,2024年6月,2021,660,4,2WD,ガソリン,5D,インパネAT,0,プラチナホワイトパール,209,−,−,−,3395x1475x1705mm,850,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,23.2km/リットル,29.0km/リットル,−,1,1,5,5,無し
8,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/13/700055089530220930003.html,78.9万円,89.8万円,6.7万km,0,1,2023年12月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,パール,951,−,−,−,3395x1475x1780mm,960,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,24.2km/リットル,−,1,1,4,4,有 軽度
9,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/12/965022100100403397004.html,69.9万円,77.9万円,8.4万km,0,1,2023年6月,2012,660,4,2WD,ガソリン,5D,インパネAT,0,ポリッシュドメタル・メタリック,122,−,−,−,3395x1475x1780mm,960,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,22.0km/リットル,24.5km/リットル,1,1,4,4,無し
