index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
0,ダイハツ,ウェイク,https://www.goo-net.com/usedcar/spread/goo/11/980022092400902397001.html,119.9万円,129.9万円,7.2万km,0,0,2023年11月,2016,660,4,4WD,ガソリン,5D,インパネAT,1,グレー,830,−,339,−,3395x1475x1835mm,1060,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,23.2km/リットル,−,1,1,4,4,無し
1,ホンダ,Ｎ−ＯＮＥ,https://www.goo-net.com/usedcar/spread/goo/13/939022072700503690018.html,48万円,62.5万円,9.0万km,0,1,車検整備付,2013,660,4,2WD,ガソリン,5D,CVT,0,ポリッシュドメタルＭ,395,−,−,−,3395x1475x1610mm,850,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,1,1,4,4,無し
2,ダイハツ,ウェイク,https://www.goo-net.com/usedcar/spread/goo/13/700053014230220303001.html,129.9万円,--万円,3.3万km,0,1,なし,2015,660,4,2WD,ガソリン,5D,インパネAT,1,ブルーマイカメタリック,673,−,−,−,3395x1475x1835mm,1010,FF,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,23.8km/リットル,−,0,0,4,4,無し
3,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/13/939022080700504914001.html,49.9万円,57.2万円,12.7万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,CVT,0,パールホワイト３,648,−,−,−,3395x1475x1750mm,930,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.0km/リットル,−,1,1,4,4,無し
4,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/15/700020659330220905001.html,122万円,130万円,5.9万km,0,0,2023年8月,2016,660,4,2WD,ガソリン,5D,CVT,1,パールＩＩ,621,−,−,−,3395x1475x1780mm,980,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,22.0km/リットル,−,0,0,4,4,無し
5,日産,デイズ,https://www.goo-net.com/usedcar/spread/goo/13/906022092300100053001.html,105.9万円,114.2万円,2.0万km,0,1,2023年11月,2018,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイト,349,−,−,−,3395x1475x1620mm,830,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,26.8km/リットル,−,1,1,4,4,無し
6,日産,デイズ,https://www.goo-net.com/usedcar/spread/goo/11/700090345230220904005.html,95.9万円,--万円,3.6万km,0,1,なし,2015,660,4,2WD,ガソリン,5D,CVT,1,シルキーホワイトパール,400,−,−,−,3395x1475x1620mm,860,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,21.4km/リットル,−,0,0,4,4,無し
7,三菱,パジェロミニ,https://www.goo-net.com/usedcar/spread/goo/13/700040019430220914001.html,39.8万円,49.8万円,8.4万km,0,0,車検整備付,2007,660,4,4WD,ガソリン,3D,5MT,1,シルバー,548,−,−,−,3395x1475x1635mm,970,パートタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,−,−,1,1,3,4,有 軽度
8,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/15/700020839730220910001.html,60.8万円,73.6万円,5.0万km,0,1,車検整備付,2013,660,4,2WD,ガソリン,5D,CVT,0,ゴールド,641,−,−,−,3395x1475x1750mm,930,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,25.0km/リットル,−,1,1,3,4,無し
9,ダイハツ,ムーヴキャンバス,https://www.goo-net.com/usedcar/spread/goo/13/700090345230220707003.html,159.9万円,--万円,1.0万km,0,1,なし,2017,660,4,2WD,ガソリン,5D,CVT,0,グレーＩＩ,545,−,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.6km/リットル,−,0,0,4,5,無し
10,日産,デイズ,https://www.goo-net.com/usedcar/spread/goo/13/700055141730220617001.html,29.8万円,44万円,3.5万km,0,0,2022年10月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,ブラウンＭ,479,−,−,−,3395x1475x1620mm,830,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,26.8km/リットル,−,1,1,4,4,有 軽度
11,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/11/965022082900900182004.html,149.9万円,160.8万円,1.8万km,0,1,車検整備付,2017,660,4,4WD,ガソリン,5D,インパネAT,0,モカブラウン（Ｐ）,495,−,−,−,3395x1475x1775mm,990,フルタイム４WD,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,20.6km/リットル,−,1,1,4,4,無し
12,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/13/700053014230220422002.html,99.9万円,--万円,3.8万km,0,1,なし,2016,660,4,2WD,ガソリン,5D,インパネAT,0,スマートブラック,701,−,−,−,3395x1475x1655mm,840,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,29.4km/リットル,−,0,0,4,4,無し
13,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/13/700055187130220513002.html,134.8万円,149.8万円,13km,0,1,2025年2月,2022,660,4,2WD,ガソリン,5D,CVT,0,パールホワイト,9,−,−,−,3395x1475x1630mm,830,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,20.7km/リットル,26.4km/リットル,−,1,0,5,5,無し
14,ΞέΞσΞά,ΘΈΓίΘ¬ΘœΘΊ,https://www.goo-net.com/usedcar/spread/goo/13/700055141730211118001.html,58.8万円,73万円,5.3万km,0,0,2023年5月,2013,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイト,634,−,−,−,3395x1475x1780mm,950,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,24.2km/リットル,−,1,1,4,4,有 軽度
15,スズキ,スペーシア,https://www.goo-net.com/usedcar/spread/goo/11/980022040300902394004.html,95.9万円,107.9万円,3.4万km,0,0,2023年8月,2016,660,4,2WD,ハイブリッド,5D,インパネAT,0,ライトグリ−ン,301,−,−,−,3395x1475x1735mm,850,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,32.0km/リットル,−,0,1,4,4,無し
16,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/13/700055141730220712001.html,71.8万円,86万円,1.7万km,0,0,2024年2月,2017,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイト,807,寒冷地仕様,−,−,3395x1475x1775mm,950,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,22.0km/リットル,−,1,1,4,5,有 中度
17,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/16/939022073100700897001.html,114.8万円,122.8万円,5.9万km,0,0,車検整備付,2017,660,4,2WD,ガソリン,5D,CVT,0,ブラックマイカＭ,171,−,−,−,3395x1475x1750mm,940,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.0km/リットル,−,1,1,4,4,無し
18,ホンダ,Ｎ−ＷＧＮ,https://www.goo-net.com/usedcar/spread/goo/13/917022091100508008002.html,115.8万円,125.4万円,1.0万km,0,1,2023年10月,2020,660,4,2WD,ガソリン,5D,インパネAT,0,プレミアムアガットブラウン・パール,863,−,−,−,3395x1475x1675mm,850,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,23.2km/リットル,29.0km/リットル,−,1,1,4,4,無し
19,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/13/700050007430220528004.html,115.9万円,--万円,2.3万km,0,1,なし,2017,660,4,2WD,ガソリン,5D,CVT,1,パープル,934,−,−,−,3395x1475x1775mm,960,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,22.2km/リットル,−,0,0,5,5,無し
20,スズキ,スペーシアカスタム,https://www.goo-net.com/usedcar/spread/goo/11/965022090900900298001.html,55.4万円,64.1万円,9.6万km,0,0,2024年5月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイト,402,−,−,−,3395x1475x1735mm,900,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,26.0km/リットル,−,1,1,4,4,無し
21,ダイハツ,ムーヴコンテ,https://www.goo-net.com/usedcar/spread/goo/19/700080083230220812001.html,26.9万円,39.9万円,7.5万km,0,0,車検整備付,2013,660,4,2WD,ガソリン,5D,コラムAT,0,ブラック,155,−,−,−,3395x1475x1655mm,840,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,26.0km/リットル,−,1,1,3,4,有 軽度
22,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/15/917022073100602014002.html,149.8万円,159.3万円,4.1万km,0,0,車検整備付,2017,660,4,2WD,ガソリン,5D,インパネAT,1,クリスタルブラックパール,596,−,−,−,3395x1475x1790mm,930,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,25.0km/リットル,−,1,1,5,4,無し
23,ź└źżźŽź─,źÓĪ╝ź¶źŁźŃź¾źąź╣,https://www.goo-net.com/usedcar/spread/goo/11/700090364530220517004.html,149.9万円,--万円,2.3万km,0,1,なし,2019,660,4,2WD,ガソリン,5D,CVT,0,ツートン,19,寒冷地仕様,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,20.6km/リットル,28.6km/リットル,−,0,0,4,5,無し
24,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/16/700070892830220908001.html,149.9万円,164.9万円,0.4万km,0,0,2024年7月,2021,660,4,2WD,ガソリン,5D,CVT,0,ホワイト,5,寒冷地仕様,−,−,3395x1475x1755mm,900,FF,無鉛レギュラーガソリン,52ps(38kW)/6900rpm,21.2km/リットル,27.2km/リットル,−,1,0,5,5,無し
25,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/13/700050006430220701002.html,139.9万円,--万円,2.1万km,0,1,なし,2017,660,4,2WD,ガソリン,5D,CVT,1,ブラック,540,寒冷地仕様,−,−,3395x1475x1750mm,960,FF,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,26.0km/リットル,−,0,0,4,4,無し
26,日産,モコ,https://www.goo-net.com/usedcar/spread/goo/10/700031023930220326001.html,89.9万円,--万円,2.0万km,0,1,2023年6月,2014,660,4,4WD,ガソリン,5D,CVT,0,ブラウン,961,寒冷地仕様,−,−,3395x1475x1625mm,860,フルタイム４WD,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,21.0km/リットル,23.0km/リットル,0,0,4,4,無し
27,日産,デイズ,https://www.goo-net.com/usedcar/spread/goo/15/700020778130220220003.html,121.9万円,138.9万円,10km,1,1,2024年11月,2021,660,4,2WD,ガソリン,5D,CVT,0,ブラック,862,−,−,−,3395x1475x1640mm,840,FF,無鉛レギュラーガソリン,52ps(38kW)/6400rpm,21.2km/リットル,29.4km/リットル,−,1,0,5,5,無し
28,三菱,ｅＫカスタム,https://www.goo-net.com/usedcar/spread/goo/13/700050841530220606001.html,59.8万円,76.4万円,3.8万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,CVT,1,レッドメタリック,923,−,−,−,3395x1475x1620mm,860,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,21.4km/リットル,−,1,1,3,4,無し
29,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/19/700080053430220526001.html,54.9万円,64.9万円,11.1万km,0,0,なし,2016,660,4,2WD,ガソリン,5D,インパネAT,0,ナイトシャドーパープルクリスタルメタリック,129,−,−,−,3395x1475x1630mm,830,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,31.0km/リットル,−,1,0,4,3,無し
30,スズキ,スペーシアカスタム,https://www.goo-net.com/usedcar/spread/goo/15/700060004330220615001.html,169万円,181.4万円,1.8万km,0,1,2024年4月,2019,660,4,2WD,ハイブリッド,5D,インパネAT,0,ブラック,249,−,−,−,3395x1475x1785mm,890,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,28.2km/リットル,−,1,1,5,5,無し
31,ダイハツ,タフト,https://www.goo-net.com/usedcar/spread/goo/11/700050007530220821004.html,169.9万円,--万円,6km,1,1,2025年8月,2022,660,4,4WD,ガソリン,5D,インパネAT,1,フォレストカーキメタリック,414,寒冷地仕様,−,−,3395x1475x1630mm,890,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,19.6km/リットル,−,−,0,0,5,5,無し
32,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/13/700050006830220923002.html,98.9万円,--万円,3.3万km,0,1,なし,2015,660,4,2WD,ガソリン,5D,CVT,1,ブラック,417,−,−,−,3395x1475x1655mm,850,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,26.0km/リットル,−,0,0,4,4,無し
33,スズキ,エブリイ,https://www.goo-net.com/usedcar/spread/goo/14/932022062700509995001.html,98.9万円,--万円,3.1万km,0,1,2023年1月,2015,660,4,4WD,ガソリン,5D,3AT,0,シルキーシルバーメタリック,35,−,−,−,3395x1475x1875mm,910,パートタイム４WD,無鉛レギュラーガソリン,49ps(36kW)/5800rpm,−,15.2km/リットル,16.2km/リットル,0,0,4,4,無し
34,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/13/700050412930220809003.html,135.9万円,--万円,3.8万km,0,1,なし,2017,660,4,2WD,ガソリン,5D,インパネAT,0,プレミアムアイボリーパールＩＩ,677,−,−,−,3395x1475x1790mm,890,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,0,0,4,4,無し
35,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/14/700050999530220825001.html,225.9万円,--万円,5km,1,1,新車未登録,2022,660,4,4WD,ガソリン,5D,インパネAT,1,プラチナホワイト・パール＆ブラック,271,−,−,−,3395x1475x1815mm,990,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,19km/リットル,23.0km/リットル,−,0,0,5,5,無し
36,ΞέΞσΞά,ΘΈΓίΘΉΘ«ΘΈΞΪΞΙΞΩΞύ,https://www.goo-net.com/usedcar/spread/goo/17/917022080201002528002.html,149.6万円,158.6万円,0.3万km,0,0,2024年12月,2021,660,4,2WD,ガソリン,5D,インパネAT,0,クリスタルブラックＰ,7,−,−,−,3395x1475x1705mm,850,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,23.2km/リットル,29.0km/リットル,−,1,1,5,5,無し
37,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/16/700070892830211217005.html,104.7万円,119.7万円,0.6万km,0,0,2023年12月,2020,660,4,2WD,ハイブリッド,5D,CVT,0,ピュアホワイトパール,751,−,−,−,3395x1475x1650mm,770,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,25.2km/リットル,31.0km/リットル,−,1,0,5,5,無し
38,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/13/700050007430220827003.html,149.9万円,--万円,2.4万km,0,1,なし,2017,660,4,2WD,ガソリン,5D,CVT,0,青／黒,430,−,−,−,3395x1475x1790mm,900,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,0,0,3,4,無し
39,スズキ,アルトラパン,https://www.goo-net.com/usedcar/spread/goo/13/956022082300500205005.html,113万円,128万円,4.4万km,0,0,2024年3月,2015,660,4,2WD,ガソリン,5D,インパネAT,0,コフレピンクパールメタリック,804,−,−,−,3395x1475x1525mm,680,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,35.6km/リットル,−,1,0,4,4,無し
40,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/19/700080083230220412001.html,56.9万円,69.9万円,10.1万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,インパネAT,0,パール,894,−,−,−,3395x1475x1780mm,950,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,25.2km/リットル,−,1,1,3,4,無し
41,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/13/932022070400500075019.html,63.9万円,--万円,2.3万km,0,1,なし,2011,660,4,2WD,ガソリン,5D,インパネAT,0,コットンアイボリー,911,−,−,−,3395x1475x1750mm,930,FF,無鉛レギュラーガソリン,58ps(43kW)/7200rpm,−,−,21.0km/リットル,0,0,4,4,無し
42,三菱,ｅＫスペース,https://www.goo-net.com/usedcar/spread/goo/15/965022070600400383001.html,125.9万円,136.3万円,5km,1,1,2025年6月,2022,660,4,2WD,ハイブリッド,5D,インパネAT,0,ブラックマイカ,920,−,−,−,3395x1475x1780mm,940,FF,無鉛レギュラーガソリン,52ps(38kW)/6400rpm,20.8km/リットル,27.2km/リットル,−,1,0,5,5,無し
43,ダイハツ,テリオスキッド,https://www.goo-net.com/usedcar/spread/goo/11/939022072800903292001.html,78万円,85万円,4.3万km,0,0,車検整備付,2011,660,4,4WD,ガソリン,5D,4AT,1,パ−ルホワイト１,875,−,−,−,3395x1475x1740mm,990,フルタイム４WD,無鉛レギュラーガソリン,60ps(44kW)/6800rpm,−,−,16.8km/リットル,1,1,4,4,無し
44,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/19/700080434230220930003.html,74.7万円,79.7万円,6.5万km,0,0,2023年10月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,パープル,907,−,−,−,3395x1475x1775mm,950,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,22.0km/リットル,−,1,1,3,4,無し
45,ダイハツ,タフト,https://www.goo-net.com/usedcar/spread/goo/15/700020876930220802009.html,146.9万円,159.4万円,4km,1,1,2025年1月,2022,660,4,2WD,ガソリン,5D,CVT,0,ブラックマイカメタリック,488,−,−,−,3395x1475x1630mm,830,FF,無鉛レギュラーガソリン,52ps(38kW)/6900rpm,20.5km/リットル,25.7km/リットル,−,1,0,5,5,無し
46,ダイハツ,キャスト,https://www.goo-net.com/usedcar/spread/goo/16/700070042430221002001.html,108万円,121.8万円,3.3万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,CVT,0,ワインレッド＆ホワイト,443,寒冷地仕様,−,−,3395x1475x1600mm,840,FF,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,27.0km/リットル,−,1,1,5,5,無し
