index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
0,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/13/917022060200505222002.html,129万円,138.9万円,1.1万km,0,0,車検整備付,2019,660,4,2WD,ガソリン,5D,インパネAT,0,クリスタルブラックＰ,163,−,−,−,3395x1475x1655mm,840,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,29.4km/リットル,−,1,1,4,4,無し
1,日産,ルークス,https://www.goo-net.com/usedcar/spread/goo/13/700050002030220906001.html,162.8万円,171.1万円,2.1万km,0,1,2023年9月,2020,660,4,2WD,ハイブリッド,5D,CVT,0,ダークパープル,574,−,−,−,3395x1475x1780mm,970,FF,無鉛レギュラーガソリン,52ps(38kW)/6400rpm,20.8km/リットル,27.2km/リットル,−,1,1,4,4,無し
2,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/15/700020020430220318001.html,35万円,47.8万円,11.9万km,0,1,なし,2011,660,4,2WD,ガソリン,5D,インパネAT,1,パール,482,−,339,−,3395x1475x1620mm,850,FF,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,−,22.0km/リットル,1,0,4,4,無し
3,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/17/700100178430220509002.html,15.8万円,25.8万円,9.6万km,0,0,車検整備付,2007,660,4,2WD,ガソリン,5D,4AT,0,ブラックマイカ,357,−,−,−,3395x1475x1630mm,840,FF,無鉛レギュラーガソリン,58ps(43kW)/7200rpm,−,−,20.0km/リットル,1,1,3,4,有 軽度
4,マツダ,ＡＺワゴンカスタムスタイル,https://www.goo-net.com/usedcar/spread/goo/16/700070739530220917001.html,44万円,55万円,4.3万km,0,0,2023年4月,2012,660,4,2WD,ガソリン,5D,CVT,0,パール,285,−,−,−,3395x1475x1675mm,860,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,21.6km/リットル,23.5km/リットル,1,1,5,4,無し
5,ダイハツ,ウェイク,https://www.goo-net.com/usedcar/spread/goo/12/700040167830220901001.html,179万円,185.7万円,2.9万km,0,0,車検整備付,2017,660,4,4WD,ガソリン,5D,インパネAT,1,オフビートカーキメタリック,869,寒冷地仕様,−,−,3395x1475x1835mm,1060,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,23.2km/リットル,−,1,1,4,4,無し
6,スズキ,アルトラパン,https://www.goo-net.com/usedcar/spread/goo/13/700056103730220624001.html,97万円,106.3万円,6.4万km,0,0,2023年5月,2016,660,4,2WD,ガソリン,5D,5AT,0,グリーンＩＩ,672,−,−,−,3395x1475x1525mm,680,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,35.6km/リットル,−,1,1,4,4,無し
7,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/17/700100225130190424001.html,18万円,26万円,11.0万km,0,0,2024年8月,2011,660,4,2WD,ガソリン,5D,CVT,0,ブラックＭ,285,−,−,−,3395x1475x1635mm,810,FF,無鉛レギュラーガソリン,52ps(38kW)/7200rpm,−,−,25.0km/リットル,1,1,4,3,無し
8,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/12/700040343530220822010.html,59.8万円,80.8万円,5.4万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,インパネAT,0,レッド,571,−,−,−,3395x1475x1775mm,930,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,22.0km/リットル,−,1,1,4,4,無し
9,三菱,ｅＫワゴン,https://www.goo-net.com/usedcar/spread/goo/13/700056065230210927002.html,59.9万円,72万円,3.2万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,CVT,0,チェリーブラウンパール,242,−,−,−,3395x1475x1620mm,830,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,26.8km/リットル,−,1,1,4,4,有 軽度
10,ダイハツ,エッセ,https://www.goo-net.com/usedcar/spread/goo/11/965022092400904278002.html,25.3万円,33.3万円,0.5万km,0,0,2023年8月,2008,660,4,2WD,ガソリン,5D,3AT,0,シルバーメタリック,411,−,−,−,3395x1475x1470mm,700,FF,無鉛レギュラーガソリン,58ps(43kW)/7200rpm,−,−,26.0km/リットル,1,1,4,4,無し
11,三菱,ｅＫスペース,https://www.goo-net.com/usedcar/spread/goo/13/700056065430220227002.html,62万円,72万円,7.9万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,CVT,0,オレンジ,238,−,−,−,3395x1475x1775mm,930,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,22.0km/リットル,−,1,1,4,4,有 軽度
12,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/11/965022051400300112002.html,134.7万円,145.4万円,1.8万km,0,1,車検整備付,2020,660,4,4WD,ガソリン,5D,インパネAT,0,プラチナホワイト・パール,447,−,−,−,3395x1475x1815mm,950,フルタイム４WD,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,25.4km/リットル,−,1,1,5,5,無し
13,ダイハツ,ミラココア,https://www.goo-net.com/usedcar/spread/goo/15/700020541430210617001.html,44.8万円,63万円,5.7万km,0,1,車検整備付,2013,660,4,2WD,ガソリン,5D,インパネAT,0,プラムブラウンクリスタルマイカ,338,−,−,−,3395x1475x1530mm,800,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,26.0km/リットル,27.5km/リットル,1,1,4,4,無し
14,ダイハツ,キャスト,https://www.goo-net.com/usedcar/spread/goo/16/939022083000700340002.html,134.8万円,142.3万円,0.1万km,0,0,2024年12月,2021,660,4,2WD,ガソリン,5D,CVT,0,ファイアークォーツレッドＭ,743,−,−,−,3395x1475x1600mm,840,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,30.0km/リットル,−,1,1,5,5,無し
15,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/12/700050348630220822003.html,185万円,190万円,1.0万km,0,0,2024年4月,2021,660,4,2WD,ガソリン,5D,インパネAT,0,ダークブルー,244,−,−,−,3395x1475x1790mm,910,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,21.2km/リットル,27.0km/リットル,−,1,1,4,5,無し
16,ダイハツ,ミライース,https://www.goo-net.com/usedcar/spread/goo/17/939022072400708052001.html,65.8万円,74.3万円,4.0万km,0,0,車検整備付,2015,660,4,2WD,ガソリン,5D,CVT,0,パールホワイト３,821,−,−,−,3395x1475x1490mm,730,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,33.4km/リットル,−,1,1,5,4,無し
17,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/13/971021031500100394003.html,91万円,101万円,0.6万km,0,0,2023年2月,2020,660,4,2WD,ガソリン,5D,CVT,0,シルキーシルバーメタリック,882,−,−,−,3395x1475x1650mm,750,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,26.8km/リットル,−,1,1,5,5,無し
18,スズキ,ジムニー,https://www.goo-net.com/usedcar/spread/goo/16/700070599230220723002.html,158.9万円,172.9万円,4.6万km,0,1,2023年2月,2016,660,4,4WD,ガソリン,3D,5MT,1,クールカーキパールメタリック,459,−,−,−,3395x1475x1680mm,970,パートタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6500rpm,−,−,16.4km/リットル,1,1,5,4,無し
19,スズキ,アルトラパンショコラ,https://www.goo-net.com/usedcar/spread/goo/16/700070811330220705001.html,54万円,62万円,6.5万km,0,1,2023年4月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,ブラウン,499,−,−,−,3395x1475x1515mm,800,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,26.0km/リットル,−,1,1,4,4,有 軽度
20,ダイハツ,ムーヴキャンバス,https://www.goo-net.com/usedcar/spread/goo/15/700060150430210320002.html,149万円,--万円,2.2万km,0,1,なし,2018,660,4,2WD,ガソリン,5D,インパネAT,0,ファインミントメタリック／パールホワイトＩＩＩ,42,寒冷地仕様,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,20.6km/リットル,28.6km/リットル,−,1,0,5,5,無し
21,日産,デイズルークス,https://www.goo-net.com/usedcar/spread/goo/12/906022071100400918001.html,109.8万円,115.6万円,2.0万km,0,0,車検整備付,2017,660,4,2WD,ガソリン,5D,インパネAT,0,チタニウムグレーＭ,300,−,−,−,3395x1475x1775mm,960,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,22.2km/リットル,−,1,1,5,4,無し
22,ダイハツ,タフト,https://www.goo-net.com/usedcar/spread/goo/19/965022082600801930007.html,149.7万円,158.5万円,0.2万km,0,0,2024年9月,2021,660,4,2WD,ガソリン,5D,インパネAT,0,フォレストカーキメタリック,128,−,−,−,3395x1475x1630mm,830,FF,無鉛レギュラーガソリン,52ps(38kW)/6900rpm,20.5km/リットル,25.7km/リットル,−,1,1,5,5,無し
23,ダイハツ,ミラ,https://www.goo-net.com/usedcar/spread/goo/13/700050006130220919003.html,29.9万円,--万円,1.9万km,0,1,なし,2009,660,4,2WD,ガソリン,5D,3AT,0,シャンパンゴールドメタリック,62,−,−,−,3395x1475x1530mm,740,FF,無鉛レギュラーガソリン,58ps(43kW)/7200rpm,−,−,25.0km/リットル,0,0,4,4,無し
24,スズキ,エブリイ,https://www.goo-net.com/usedcar/spread/goo/17/965022092801000852001.html,89.9万円,97.9万円,2.4万km,0,1,2023年11月,2017,660,4,4WD,ガソリン,5D,インパネAT,0,スペリアホワイト,762,−,−,−,3395x1475x1895mm,910,パートタイム４WD,無鉛レギュラーガソリン,49ps(36kW)/6200rpm,16.9km/リットル,20.0km/リットル,−,1,1,4,4,無し
25,ダイハツ,ミラココア,https://www.goo-net.com/usedcar/spread/goo/15/700020456230220920002.html,59.8万円,--万円,5.2万km,0,1,2022年12月,2011,660,4,2WD,ガソリン,5D,CVT,0,ピンク,266,−,−,−,3395x1475x1560mm,810,FF,無鉛レギュラーガソリン,58ps(43kW)/7200rpm,−,−,23.5km/リットル,1,0,4,4,無し
26,スズキ,ハスラー,https://www.goo-net.com/usedcar/spread/goo/13/700054139430220927001.html,59.9万円,74.9万円,5.0万km,0,1,車検整備付,2016,660,4,2WD,ハイブリッド,5D,CVT,0,オレンジＩＩ,3,−,−,−,3395x1475x1665mm,790,FF,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,32.0km/リットル,−,1,1,4,4,無し
27,ダイハツ,ムーヴキャンバス,https://www.goo-net.com/usedcar/spread/goo/15/700060150430211109001.html,141万円,--万円,3.8万km,0,1,なし,2016,660,4,2WD,ガソリン,5D,インパネAT,0,ファインミントメタリック／パールホワイトＩＩＩ,122,寒冷地仕様,−,−,3395x1475x1655mm,920,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.6km/リットル,−,1,0,5,5,無し
28,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/15/700020105230220920003.html,79.8万円,96.8万円,4.0万km,0,0,2022年12月,2015,660,4,2WD,ガソリン,5D,インパネAT,0,ファイアークォーツレッドメタリック,177,−,−,−,3395x1475x1750mm,940,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.0km/リットル,−,1,1,3,4,無し
29,日産,デイズ,https://www.goo-net.com/usedcar/spread/goo/13/988022062500561248004.html,114.9万円,137.9万円,5km,1,1,2025年5月,2022,660,4,2WD,ガソリン,5D,CVT,0,スパークリングレッドパールメタリック,468,−,−,−,3395x1475x1640mm,840,FF,無鉛レギュラーガソリン,52ps(38kW)/6400rpm,21.2km/リットル,29.4km/リットル,−,0,0,5,5,無し
30,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/13/917022091000500164002.html,129.8万円,135.2万円,5.1万km,0,1,2023年8月,2018,660,4,2WD,ガソリン,5D,インパネAT,0,プラチナホワイトパール,316,−,−,−,3395x1475x1790mm,900,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,1,1,5,4,無し
