index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
2882,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/14/917022041909030173003.html,158万円,165.3万円,0.9万km,0,0,2024年3月,2021,660,4,2WD,ガソリン,5D,インパネAT,1,プラチナホワイトパール,425,−,−,−,3395x1475x1705mm,870,FF,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,21.2km/リットル,25.2km/リットル,−,1,1,5,5,無し
2883,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/11/939022060200903154003.html,138万円,146万円,2.2万km,0,0,車検整備付,2015,660,4,4WD,ガソリン,5D,CVT,0,パールホワイト３,895,−,−,−,3395x1475x1630mm,890,フルタイム４WD,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,27.6km/リットル,−,1,1,4,4,無し
2884,スバル,Ｒ２,https://www.goo-net.com/usedcar/spread/goo/15/700062010830191210002.html,15万円,23万円,10.1万km,0,0,なし,2007,660,4,2WD,ガソリン,5D,CVT,0,ライトブルーＭ,276,−,339,−,3395x1475x1520mm,810,FF,無鉛レギュラーガソリン,46ps(34kW)/6000rpm,−,−,23.0km/リットル,0,1,4,4,無し
2885,日産,ルークス,https://www.goo-net.com/usedcar/spread/goo/11/700090231930200322001.html,59万円,68.1万円,3.7万km,0,0,車検整備付,2012,660,4,2WD,ガソリン,5D,CVT,0,ピンク,110,−,−,−,3395x1475x1735mm,930,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,19.6km/リットル,21.5km/リットル,0,1,4,4,無し
2886,日産,モコ,https://www.goo-net.com/usedcar/spread/goo/19/700110103030220904001.html,59万円,--万円,5.5万km,0,0,なし,2013,660,4,2WD,ガソリン,5D,CVT,0,パープル,177,−,−,−,3395x1475x1625mm,820,FF,無鉛レギュラーガソリン,52ps(38kW)/6000rpm,−,30.0km/リットル,−,1,1,4,4,無し
2887,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/10/700031034530220824001.html,39.9万円,--万円,5.5万km,0,0,なし,2009,660,4,4WD,ガソリン,5D,インパネAT,0,ホワイト,683,寒冷地仕様,−,−,3395x1475x1630mm,880,フルタイム４WD,無鉛レギュラーガソリン,58ps(43kW)/7200rpm,−,−,22.0km/リットル,0,0,4,4,無し
2888,スズキ,ＭＲワゴン,https://www.goo-net.com/usedcar/spread/goo/15/700020085230220425003.html,38.5万円,45万円,4.3万km,0,0,2024年5月,2009,660,4,2WD,ガソリン,5D,4AT,0,パールホワイト,546,−,−,−,3395x1475x1610mm,830,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,−,20.0km/リットル,1,1,4,4,無し
2889,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/19/700080261430220923001.html,198万円,--万円,2km,1,0,2025年9月,2022,660,4,2WD,ガソリン,5D,インパネAT,0,パールホワイト,506,−,339,−,3395x1475x1790mm,910,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,21.2km/リットル,27.0km/リットル,−,1,0,5,5,無し
2890,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/10/700030293630220721001.html,109.8万円,--万円,8.7万km,0,0,2023年11月,2014,660,4,4WD,ガソリン,5D,CVT,1,ホワイトＩＩ,834,−,−,−,3395x1475x1800mm,1030,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,20.6km/リットル,−,1,0,4,4,無し
2891,ホンダ,Ｎ−ＯＮＥ,https://www.goo-net.com/usedcar/spread/goo/12/988022031700403148001.html,61.8万円,68.1万円,7.0万km,0,0,なし,2013,660,4,2WD,ガソリン,5D,CVT,0,アラバスターシルバーメタリック,943,−,−,−,3395x1475x1610mm,840,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,1,1,4,4,無し
